annotation,DET,GES,NSI,EP,ESmu,N_cells_es
Astro,981,746,788,1225,1522,45
Ependy,2264,2204,1730,2131,2724,123
Epith1,1891,1675,1276,1828,2181,60
Epith2,2148,1889,1270,1891,2393,58
GABA1,1142,479,322,327,1282,10
GABA10,1290,886,224,324,1569,14
GABA11,1221,464,422,297,1396,25
GABA12,1376,725,334,371,1620,38
GABA13,1981,885,439,272,2280,113
GABA14,1446,564,432,312,1667,42
GABA15,1678,787,601,393,2046,68
GABA16,1295,424,478,343,1553,50
GABA17,1645,770,319,316,1854,30
GABA18,1172,446,192,180,1309,23
GABA2,991,308,357,288,1141,19
GABA3,1351,594,667,568,1575,42
GABA4,975,399,169,227,1120,13
GABA5,1733,879,496,468,2007,48
GABA6,1141,504,397,414,1376,28
GABA7,963,431,378,417,1102,13
GABA8,1108,247,527,266,1391,115
GABA9,850,289,385,292,991,23
Glu1,599,192,242,149,686,11
Glu10,662,242,194,196,750,12
Glu11,1084,397,426,303,1246,30
Glu12,956,486,203,281,1140,17
Glu13,998,287,268,188,1120,16
Glu14,1246,607,319,247,1485,30
Glu15,1109,459,261,241,1297,22
Glu2,917,361,349,355,1029,13
Glu3,902,305,304,313,997,10
Glu4,1978,957,447,467,2178,68
Glu5,1794,982,654,563,2116,83
Glu6,1455,996,253,412,1760,19
Glu7,1886,742,587,430,2141,96
Glu8,1777,873,279,280,2020,37
Glu9,1137,404,265,211,1291,26
Hista,1002,532,325,427,1164,11
IMO,1395,823,1316,1217,1895,68
MO,1338,1160,1604,1424,2076,265
Macro,1483,1433,567,1642,1911,14
Micro,924,751,518,985,1293,23
OPC,1643,1298,1503,1618,2344,248
POPC,1078,536,578,774,1265,23
Tany,2037,1872,1445,1886,2591,123
